transport_type,stop,line,delay,theoretical_time,expectedArrivalTime,date,direction,date_year,date_month,date_weekday,date_hour,date_minute,date_seconde,temp,humidity,visibility,wind,rain
0,0089,39,,,,2020-11-08 00:16:51.767512,,2020,11,6,0,16,51,281.44,87,10000,1,0
0,0089,44,,,,2020-11-08 00:16:51.768116,,2020,11,6,0,16,51,281.44,87,10000,1,0
0,6608G,51,,,,2020-11-08 00:16:53.910799,,2020,11,6,0,16,53,281.44,87,10000,1,0
0,6608G,82,,,,2020-11-08 00:16:56.042511,,2020,11,6,0,16,56,281.44,87,10000,1,0
0,0089,39,,,,2020-11-08 00:17:59.970852,,2020,11,6,0,17,59,281.44,87,10000,1,0
0,0089,44,,,,2020-11-08 00:17:59.971539,,2020,11,6,0,17,59,281.44,87,10000,1,0
0,6608G,51,,,,2020-11-08 00:18:02.122195,,2020,11,6,0,18,2,281.44,87,10000,1,0
0,6608G,82,,,,2020-11-08 00:18:04.266135,,2020,11,6,0,18,4,281.44,87,10000,1,0
0,0089,39,,,,2020-11-08 00:19:05.149844,,2020,11,6,0,19,5,281.44,87,10000,1,0
0,0089,44,,,,2020-11-08 00:19:05.150471,,2020,11,6,0,19,5,281.44,87,10000,1,0
0,6608G,51,,,,2020-11-08 00:19:07.293585,,2020,11,6,0,19,7,281.44,87,10000,1,0
0,6608G,82,,,,2020-11-08 00:19:09.427453,,2020,11,6,0,19,9,281.44,87,10000,1,0
0,0089,39,,,,2020-11-08 00:20:10.055640,,2020,11,6,0,20,10,281.44,87,10000,1,0
0,0089,44,,,,2020-11-08 00:20:10.056325,,2020,11,6,0,20,10,281.44,87,10000,1,0
0,6608G,51,,,,2020-11-08 00:20:12.195961,,2020,11,6,0,20,12,281.44,87,10000,1,0
0,6608G,82,,,,2020-11-08 00:20:14.328900,,2020,11,6,0,20,14,281.44,87,10000,1,0
0,0089,39,,,,2020-11-08 00:21:15.380890,,2020,11,6,0,21,15,281.44,87,10000,1,0
0,0089,44,,,,2020-11-08 00:21:15.381581,,2020,11,6,0,21,15,281.44,87,10000,1,0
0,6608G,51,,,,2020-11-08 00:21:17.511965,,2020,11,6,0,21,17,281.44,87,10000,1,0
0,6608G,82,,,,2020-11-08 00:21:19.645844,,2020,11,6,0,21,19,281.44,87,10000,1,0
0,0089,39,,,,2020-11-08 00:22:20.590835,,2020,11,6,0,22,20,281.44,87,10000,1,0
0,0089,44,,,,2020-11-08 00:22:20.591528,,2020,11,6,0,22,20,281.44,87,10000,1,0
0,6608G,51,,,,2020-11-08 00:22:22.725980,,2020,11,6,0,22,22,281.44,87,10000,1,0
0,6608G,82,,,,2020-11-08 00:22:24.859164,,2020,11,6,0,22,24,281.44,87,10000,1,0
0,0089,39,,,,2020-11-08 00:23:29.336524,,2020,11,6,0,23,29,281.44,87,10000,1,0
0,0089,44,,,,2020-11-08 00:23:29.337214,,2020,11,6,0,23,29,281.44,87,10000,1,0
0,6608G,51,,,,2020-11-08 00:23:31.486357,,2020,11,6,0,23,31,281.44,87,10000,1,0
0,6608G,82,,,,2020-11-08 00:23:33.627827,,2020,11,6,0,23,33,281.44,87,10000,1,0
0,0089,39,,,,2020-11-08 00:24:34.269374,,2020,11,6,0,24,34,281.43,87,10000,1.5,0
0,0089,44,,,,2020-11-08 00:24:34.270099,,2020,11,6,0,24,34,281.43,87,10000,1.5,0
0,6608G,51,,,,2020-11-08 00:24:34.270768,,2020,11,6,0,24,34,281.43,87,10000,1.5,0
0,6608G,82,,,,2020-11-08 00:24:36.398550,,2020,11,6,0,24,36,281.43,87,10000,1.5,0
0,0089,39,,,,2020-11-08 00:25:37.439464,,2020,11,6,0,25,37,281.43,87,10000,1.5,0
0,0089,44,,,,2020-11-08 00:25:37.440064,,2020,11,6,0,25,37,281.43,87,10000,1.5,0
0,6608G,51,,,,2020-11-08 00:25:37.440633,,2020,11,6,0,25,37,281.43,87,10000,1.5,0
0,6608G,82,,,,2020-11-08 00:25:39.574535,,2020,11,6,0,25,39,281.43,87,10000,1.5,0
0,0089,39,,,,2020-11-08 00:26:42.200104,,2020,11,6,0,26,42,281.43,87,10000,1.5,0
0,0089,44,,,,2020-11-08 00:26:42.200703,,2020,11,6,0,26,42,281.43,87,10000,1.5,0
0,6608G,51,,,,2020-11-08 00:26:42.201283,,2020,11,6,0,26,42,281.43,87,10000,1.5,0
0,6608G,82,,,,2020-11-08 00:26:44.330389,,2020,11,6,0,26,44,281.43,87,10000,1.5,0
0,0089,39,,,,2020-11-08 00:27:48.890633,,2020,11,6,0,27,48,281.43,87,10000,1.5,0
0,0089,44,,,,2020-11-08 00:27:48.891328,,2020,11,6,0,27,48,281.43,87,10000,1.5,0
0,6608G,51,,,,2020-11-08 00:27:48.891987,,2020,11,6,0,27,48,281.43,87,10000,1.5,0
