transport_type,trip,stop,line,delay,theoretical_time,expectedArrivalTime,date,direction,year,month,day,hour,minute,temp,humidity,visibility,wind,rain
0,,5502,44,,,,2020-11-26 00:15:28.749800,,2020,11,3,0,15,280.97,81,10000,3.6,0
0,,5503,39,,,,2020-11-26 00:15:28.932118,,2020,11,3,0,15,280.97,81,10000,3.6,0
0,,5503,44,,,,2020-11-26 00:15:28.932743,,2020,11,3,0,15,280.97,81,10000,3.6,0
0,,5504,39,,,,2020-11-26 00:15:29.115859,,2020,11,3,0,15,280.97,81,10000,3.6,0
0,,5504,44,,,,2020-11-26 00:15:29.116471,,2020,11,3,0,15,280.97,81,10000,3.6,0
0,,5281G,39,,,,2020-11-26 00:15:29.304886,,2020,11,3,0,15,280.97,81,10000,3.6,0
0,,5281G,44,,,,2020-11-26 00:15:29.305320,,2020,11,3,0,15,280.97,81,10000,3.6,0
0,,5281G,8,,,,2020-11-26 00:15:29.662905,,2020,11,3,0,15,280.97,81,10000,3.6,0
0,,5507,39,,,,2020-11-26 00:15:29.849491,,2020,11,3,0,15,280.97,81,10000,3.6,0
0,,5507,44,,,,2020-11-26 00:15:29.850078,,2020,11,3,0,15,280.97,81,10000,3.6,0
0,,5508,39,,,,2020-11-26 00:15:30.032455,,2020,11,3,0,15,280.97,81,10000,3.6,0
0,,5508,44,,,,2020-11-26 00:15:30.033046,,2020,11,3,0,15,280.97,81,10000,3.6,0
0,,5509,39,,,,2020-11-26 00:15:30.219842,,2020,11,3,0,15,280.97,81,10000,3.6,0
0,,5510,39,,,,2020-11-26 00:15:30.402829,,2020,11,3,0,15,280.97,81,10000,3.6,0
0,,5512,39,,,,2020-11-26 00:15:32.937884,,2020,11,3,0,15,280.97,81,10000,3.6,0
0,,6474F,39,,,,2020-11-26 00:15:33.120856,,2020,11,3,0,15,280.97,81,10000,3.6,0
0,,5529,39,,,,2020-11-26 00:15:33.299780,,2020,11,3,0,15,280.97,81,10000,3.6,0
0,,5532,39,,,,2020-11-26 00:15:33.482238,,2020,11,3,0,15,280.97,81,10000,3.6,0
0,,5515,39,,,,2020-11-26 00:15:33.661002,,2020,11,3,0,15,280.97,81,10000,3.6,0
0,,5516,39,,,,2020-11-26 00:15:33.842833,,2020,11,3,0,15,280.97,81,10000,3.6,0
0,,5517,39,,,,2020-11-26 00:15:34.021305,,2020,11,3,0,15,280.97,81,10000,3.6,0
0,,5518,39,,,,2020-11-26 00:15:34.203920,,2020,11,3,0,15,280.97,81,10000,3.6,0
0,,5519,39,,,,2020-11-26 00:15:34.382871,,2020,11,3,0,15,280.97,81,10000,3.6,0
0,,0089,39,,,,2020-11-26 00:18:06.523728,,2020,11,3,0,18,280.97,81,10000,3.6,0
0,,0089,44,,,,2020-11-26 00:18:06.524489,,2020,11,3,0,18,280.97,81,10000,3.6,0
0,,5501,39,,,,2020-11-26 00:18:06.525496,,2020,11,3,0,18,280.97,81,10000,3.6,0
0,,5501,44,,,,2020-11-26 00:18:06.526489,,2020,11,3,0,18,280.97,81,10000,3.6,0
0,,5502,39,,,,2020-11-26 00:18:06.527474,,2020,11,3,0,18,280.97,81,10000,3.6,0
0,,5502,44,,,,2020-11-26 00:18:06.528470,,2020,11,3,0,18,280.97,81,10000,3.6,0
0,,5503,39,,,,2020-11-26 00:18:06.529456,,2020,11,3,0,18,280.97,81,10000,3.6,0
0,,5503,44,,,,2020-11-26 00:18:06.530435,,2020,11,3,0,18,280.97,81,10000,3.6,0
0,,5504,39,,,,2020-11-26 00:18:06.711038,,2020,11,3,0,18,280.97,81,10000,3.6,0
0,,5504,44,,,,2020-11-26 00:18:06.711624,,2020,11,3,0,18,280.97,81,10000,3.6,0
0,,5281G,39,,,,2020-11-26 00:18:06.891919,,2020,11,3,0,18,280.97,81,10000,3.6,0
0,,5281G,44,,,,2020-11-26 00:18:06.892388,,2020,11,3,0,18,280.97,81,10000,3.6,0
0,,5281G,8,,,,2020-11-26 00:18:07.242045,,2020,11,3,0,18,280.97,81,10000,3.6,0
0,,5507,39,,,,2020-11-26 00:18:07.421405,,2020,11,3,0,18,280.97,81,10000,3.6,0
0,,5507,44,,,,2020-11-26 00:18:07.421996,,2020,11,3,0,18,280.97,81,10000,3.6,0
0,,5508,39,,,,2020-11-26 00:18:07.601272,,2020,11,3,0,18,280.97,81,10000,3.6,0
0,,5508,44,,,,2020-11-26 00:18:07.601862,,2020,11,3,0,18,280.97,81,10000,3.6,0
0,,5509,39,,,,2020-11-26 00:18:07.781322,,2020,11,3,0,18,280.97,81,10000,3.6,0
0,,5510,39,,,,2020-11-26 00:18:07.960557,,2020,11,3,0,18,280.97,81,10000,3.6,0
0,,5512,39,,,,2020-11-26 00:18:10.434252,,2020,11,3,0,18,280.97,81,10000,3.6,0
0,,6474F,39,,,,2020-11-26 00:18:10.616819,,2020,11,3,0,18,280.97,81,10000,3.6,0
0,,5529,39,,,,2020-11-26 00:18:10.794994,,2020,11,3,0,18,280.97,81,10000,3.6,0
0,,5532,39,,,,2020-11-26 00:18:10.977739,,2020,11,3,0,18,280.97,81,10000,3.6,0
